fund_return_category_rank_1year,fund_beta_3years,fund_stdev_3years,fund_return_category_rank_ytd,fund_beta_5years,fund_stdev_5years,fund_stdev_10years,fund_r_squared_3years,fund_return_category_rank_3months,fund_return_2020_q1,fund_category,investment_type,size_type,morningstar_risk_rating
19.0,1.2,23.44,49.0,1.17,18.9,17.28,89.68,21.0,-0.28378,Mid-Cap Blend,Blend,Medium,4.0
12.0,1.24,25.22,45.0,1.22,20.75,18.59,82.98,23.0,-0.30128,Small Blend,Blend,Small,3.0
92.0,1.02,24.76,84.0,1.02,20.15,18.73,58.81,28.0,-0.10178,Small Growth,Growth,Small,3.0
53.0,1.43,29.38,78.0,1.39,24.04,20.57,81.35,84.0,-0.38405,Small Value,Value,Small,4.0
55.0,1.43,29.39,80.0,1.39,24.04,20.57,81.43,84.0,-0.38478,Small Value,Value,Small,4.0
84.0,0.32,1.31,74.0,0.31,1.17,1.04,76.44,79.0,0.01415,Short-Term Bond,Unknown,Unknown,1.0
17.0,1.22,24.49,34.0,1.19,19.52,13.17,84.52,8.0,-0.3185,Small Blend,Value,Small,2.0
17.0,1.22,24.54,33.0,1.19,19.56,13.17,84.7,8.0,-0.31818,Small Blend,Value,Small,2.0
100.0,1.01,0.25,96.0,1.01,13.51,13.17,0.19,99.0,0.0023,Muni National Short,Unknown,Unknown,1.0
23.0,1.1,21.33,18.0,1.1,17.51,15.76,91.01,20.0,-0.27903,Large Value,Value,Large,4.0
44.0,1.59,31.64,69.0,1.5,26.35,13.17,81.89,68.0,-0.35601,Equity Energy,Value,Large,1.0
66.0,0.97,18.76,48.0,1.01,13.51,13.17,91.93,34.0,-0.23241,Mid-Cap Blend,Blend,Medium,1.0
3.0,1.06,4.42,3.0,0.98,4.0,3.59,91.53,2.0,-0.02736,Muni Single State Interm,Value,Medium,5.0
9.0,1.06,4.43,12.0,0.99,4.01,3.6,91.7,5.0,-0.03008,Muni Single State Interm,Value,Medium,5.0
3.0,1.06,4.42,2.0,0.98,4.0,3.59,91.54,2.0,-0.16424,Muni Single State Interm,Value,Medium,5.0
90.0,0.86,16.64,61.0,0.88,14.36,13.17,83.46,65.0,-0.22127,Diversified Emerging Mkts,Value,Large,1.0
83.0,0.93,10.73,38.0,0.93,8.73,8.52,96.81,41.0,-0.1163,Allocation--50% to 70% Equity,Blend,Large,2.0
49.0,1.32,27.08,43.0,1.28,22.06,19.27,80.92,39.0,-0.36615,Small Value,Value,Small,3.0
80.0,0.9,17.14,81.0,0.9,14.05,13.17,93.54,14.0,-0.2103,Large Value,Blend,Large,2.0
12.0,1.28,15.19,11.0,1.26,12.3,10.55,92.51,84.0,-0.19798,Allocation--50% to 70% Equity,Value,Large,4.0
93.0,0.86,16.6,67.0,0.88,14.36,13.17,83.44,70.0,-0.2218,Diversified Emerging Mkts,Value,Large,1.0
78.0,0.89,17.13,80.0,0.9,14.04,13.17,93.55,13.0,-0.20978,Large Value,Blend,Large,2.0
77.0,0.89,17.12,78.0,0.9,14.03,13.17,93.57,13.0,0.07886,Large Value,Blend,Large,2.0
54.0,1.31,27.03,47.0,1.28,22.03,19.25,80.93,41.0,-0.36756,Small Value,Value,Small,3.0
80.0,0.9,17.15,81.0,0.9,14.06,13.17,93.55,15.0,-0.21101,Large Value,Blend,Large,2.0
79.0,0.89,17.13,80.0,0.9,14.04,13.17,93.57,13.0,-0.21004,Large Value,Blend,Large,2.0
71.0,0.49,5.91,57.0,0.5,4.84,4.42,89.99,72.0,-0.05651,Allocation--15% to 30% Equity,Blend,Large,3.0
83.0,0.89,17.1,84.0,0.9,14.02,13.17,93.59,16.0,-0.21185,Large Value,Blend,Large,2.0
32.0,1.01,4.2,23.0,0.89,3.66,3.49,92.1,24.0,-0.02424,Muni National Interm,Value,Medium,3.0
16.0,1.05,20.63,75.0,1.07,17.78,17.7,79.83,67.0,-0.26138,Diversified Emerging Mkts,Growth,Large,4.0
31.0,1.0,4.19,27.0,0.88,3.64,3.48,91.08,24.0,-0.02428,Muni National Interm,Value,Medium,3.0
42.0,1.23,22.46,78.0,1.18,18.06,16.91,92.9,85.0,-0.29922,Foreign Large Value,Blend,Large,4.0
11.0,1.29,15.18,10.0,1.27,12.3,10.54,92.68,79.0,-0.19635,Allocation--50% to 70% Equity,Value,Large,4.0
91.0,0.93,10.9,52.0,0.94,8.92,8.24,93.5,70.0,-0.10426,Allocation--50% to 70% Equity,Blend,Large,2.0
49.0,1.45,6.49,53.0,1.29,5.63,4.93,79.08,70.0,-0.04624,High Yield Muni,Blend,Small,2.0
68.0,0.52,7.78,65.0,0.46,6.25,6.58,5.14,43.0,-0.10272,High Yield Bond,Value,Small,2.0
44.0,0.75,3.12,34.0,0.79,2.93,2.74,69.95,28.0,0.05718,Intermediate Government,Blend,Large,3.0
35.0,1.69,7.47,27.0,1.48,6.43,5.39,81.3,35.0,-0.05744,High Yield Muni,Growth,Small,3.0
38.0,1.26,22.62,73.0,1.22,18.28,17.63,95.93,42.0,-0.3064,Foreign Large Value,Value,Large,4.0
45.0,1.26,22.63,80.0,1.22,18.29,17.65,95.93,53.0,-0.30793,Foreign Large Value,Value,Large,4.0
90.0,0.86,16.6,59.0,0.88,14.35,13.17,83.62,65.0,-0.22032,Diversified Emerging Mkts,Value,Large,1.0
17.0,1.43,5.94,20.0,1.01,13.51,13.17,93.26,26.0,-0.01918,Muni National Long,Blend,Medium,4.0
91.0,0.93,10.88,52.0,0.94,8.91,8.23,93.59,70.0,-0.10421,Allocation--50% to 70% Equity,Blend,Large,2.0
37.0,1.26,22.63,72.0,1.22,18.29,17.64,95.91,39.0,-0.30626,Foreign Large Value,Value,Large,4.0
