fund_return_category_rank_1year,fund_beta_3years,fund_stdev_3years,fund_return_category_rank_ytd,fund_beta_5years,fund_stdev_5years,fund_stdev_10years,fund_r_squared_3years,fund_return_category_rank_3months,fund_return_2020_q1,fund_category,investment_type,size_type,morningstar_risk_rating
1.0,1.27,23.54,1.0,1.01,13.51,13.17,90.37,82.0,-0.28748,Foreign Small/Mid Blend,Blend,Medium,5.0
89.0,0.62,3.65,87.0,0.54,2.99,13.17,34.8,61.0,-0.03072,Nontraditional Bond,Value,Medium,1.0
92.0,0.6,3.65,92.0,0.52,2.99,13.17,32.11,74.0,-0.03293,Nontraditional Bond,Value,Medium,1.0
87.0,0.62,3.69,86.0,0.53,3.02,13.17,33.33,61.0,-0.03066,Nontraditional Bond,Value,Medium,1.0
87.0,0.6,3.62,86.0,0.53,2.98,13.17,33.31,61.0,-0.0306,Nontraditional Bond,Value,Medium,1.0
90.0,0.6,3.6,88.0,0.53,2.95,13.17,33.07,64.0,-0.03072,Nontraditional Bond,Value,Medium,1.0
59.0,0.51,6.04,51.0,0.52,5.0,4.66,90.19,15.0,-0.04726,Allocation--15% to 30% Equity,Blend,Large,3.0
50.0,1.27,25.59,74.0,1.24,21.04,18.87,84.44,60.0,-0.30808,Small Blend,Blend,Small,3.0
56.0,0.5,6.04,49.0,0.51,4.98,4.66,89.8,14.0,-0.0455,Allocation--15% to 30% Equity,Blend,Large,3.0
80.0,1.15,20.88,45.0,1.12,16.99,13.17,94.13,65.0,-0.29706,Foreign Small/Mid Blend,Blend,Medium,3.0
78.0,1.15,20.88,40.0,1.12,17.0,13.17,94.19,64.0,-0.29679,Foreign Small/Mid Blend,Blend,Medium,3.0
76.0,1.15,20.86,42.0,1.12,16.98,13.17,94.11,66.0,-0.29616,Foreign Small/Mid Blend,Blend,Medium,3.0
29.0,0.92,19.06,21.0,0.9,15.73,13.17,75.28,51.0,-0.2602,Global Real Estate,Blend,Medium,3.0
38.0,0.92,19.05,30.0,0.9,15.74,13.17,75.28,56.0,-0.26071,Global Real Estate,Blend,Medium,3.0
40.0,0.92,19.07,30.0,0.9,15.74,13.17,75.27,60.0,-0.26071,Global Real Estate,Blend,Medium,3.0
42.0,0.77,17.06,16.0,0.74,14.88,15.48,65.46,22.0,-0.21668,Real Estate,Blend,Medium,2.0
40.0,0.77,17.08,15.0,0.74,14.88,15.49,65.49,21.0,-0.21636,Real Estate,Blend,Medium,2.0
20.0,0.92,19.1,18.0,0.9,15.77,13.17,75.5,42.0,-0.25949,Global Real Estate,Blend,Medium,4.0
33.0,0.92,19.08,25.0,0.9,15.76,13.17,75.38,55.0,-0.26067,Global Real Estate,Blend,Medium,3.0
21.0,0.92,19.06,19.0,0.9,15.72,13.17,75.58,47.0,-0.25882,Global Real Estate,Blend,Medium,3.0
29.0,0.92,19.05,21.0,0.9,15.72,13.17,75.39,48.0,-0.25896,Global Real Estate,Blend,Medium,3.0
79.0,0.81,17.58,82.0,0.84,14.95,15.54,69.48,62.0,-0.23496,Global Real Estate,Blend,Medium,3.0
82.0,0.81,17.58,85.0,0.84,14.95,15.53,69.35,63.0,-0.23553,Global Real Estate,Blend,Medium,3.0
74.0,0.82,17.64,80.0,0.84,15.0,15.56,69.43,61.0,-0.23426,Global Real Estate,Blend,Medium,3.0
80.0,0.81,17.61,84.0,0.84,14.96,15.53,69.19,62.0,-0.23473,Global Real Estate,Blend,Medium,3.0
75.0,0.81,17.59,81.0,0.84,14.95,15.52,69.39,61.0,-0.23384,Global Real Estate,Blend,Medium,3.0
54.0,1.18,24.57,55.0,1.15,19.82,18.21,79.04,39.0,-0.21459,Small Growth,Growth,Small,2.0
6.0,0.9,18.86,5.0,0.9,15.75,15.34,74.2,5.0,-0.27002,Global Real Estate,Value,Medium,3.0
61.0,1.09,21.87,45.0,1.08,17.62,16.06,85.81,6.0,-0.20239,Mid-Cap Growth,Growth,Medium,3.0
59.0,1.05,12.03,59.0,1.05,9.7,9.08,98.62,29.0,-0.13333,Allocation--50% to 70% Equity,Blend,Large,3.0
84.0,1.22,13.98,84.0,1.22,11.25,10.55,98.99,49.0,-0.16308,Allocation--70% to 85% Equity,Blend,Large,2.0
7.0,0.9,18.86,10.0,0.9,15.74,15.33,74.29,11.0,-0.27072,Global Real Estate,Value,Medium,3.0
7.0,0.9,18.9,9.0,0.9,15.76,15.34,74.12,11.0,-0.26994,Global Real Estate,Value,Medium,3.0
63.0,1.09,21.86,47.0,1.08,17.62,16.06,85.79,6.0,-0.20273,Mid-Cap Growth,Growth,Medium,3.0
65.0,1.09,21.87,48.0,1.08,17.62,16.06,85.78,7.0,-0.20324,Mid-Cap Growth,Growth,Medium,3.0
50.0,1.0,19.59,44.0,1.01,16.04,14.2,90.11,25.0,-0.12835,Large Growth,Growth,Large,3.0
62.0,0.99,18.36,71.0,0.99,14.9,13.51,99.32,20.0,-0.17873,Large Blend,Blend,Large,2.0
64.0,0.99,18.35,72.0,0.99,14.89,13.5,99.32,22.0,-0.17925,Large Blend,Blend,Large,2.0
44.0,1.0,19.6,39.0,1.01,16.05,14.21,90.08,20.0,-0.12733,Large Growth,Growth,Large,3.0
46.0,1.0,19.58,42.0,1.01,16.03,14.21,90.08,21.0,-0.12769,Large Growth,Growth,Large,3.0
63.0,0.99,18.35,72.0,0.99,14.88,13.49,99.32,21.0,-0.17903,Large Blend,Blend,Large,2.0
60.0,1.15,22.1,65.0,1.13,17.66,15.76,92.53,17.0,-0.27294,Mid-Cap Blend,Blend,Medium,3.0
57.0,1.15,22.15,64.0,1.13,17.71,15.77,92.63,17.0,-0.27286,Mid-Cap Blend,Blend,Medium,3.0
64.0,1.06,12.08,66.0,1.06,9.74,9.11,98.62,36.0,-0.13471,Allocation--50% to 70% Equity,Blend,Large,3.0
42.0,0.82,9.44,38.0,0.83,7.66,7.18,97.81,12.0,-0.09744,Allocation--30% to 50% Equity,Blend,Large,3.0
46.0,0.82,9.45,44.0,0.83,7.66,7.16,97.85,15.0,-0.09784,Allocation--30% to 50% Equity,Blend,Large,3.0
59.0,1.15,22.07,65.0,1.12,17.64,15.74,92.59,17.0,-0.27252,Mid-Cap Blend,Blend,Medium,3.0
53.0,0.32,7.62,51.0,0.3,6.14,5.55,58.0,38.0,-0.04348,Options Trading,Blend,Large,2.0
18.0,0.53,7.33,32.0,0.48,5.77,13.17,6.07,72.0,-0.09586,Multisector Bond,Value,Small,3.0
30.0,1.06,21.11,40.0,1.05,17.04,14.84,86.97,84.0,-0.28613,Large Value,Value,Large,3.0
85.0,0.92,11.03,92.0,0.93,8.93,13.17,90.5,66.0,-0.11062,World Allocation,Blend,Large,1.0
45.0,0.77,17.08,16.0,0.74,14.88,15.46,65.53,22.0,-0.2173,Real Estate,Blend,Medium,2.0
57.0,0.77,17.04,27.0,0.74,14.85,15.46,65.46,30.0,-0.2187,Real Estate,Blend,Medium,2.0
54.0,0.77,17.04,25.0,0.74,14.85,15.45,65.48,26.0,-0.21843,Real Estate,Blend,Medium,2.0
39.0,0.77,17.07,14.0,0.74,14.88,15.48,65.42,20.0,-0.21573,Real Estate,Blend,Medium,2.0
51.0,1.27,25.54,75.0,1.24,21.0,18.85,84.4,60.0,-0.30764,Small Blend,Blend,Small,3.0
26.0,1.03,11.83,36.0,1.04,9.57,13.17,98.34,10.0,-0.14217,Target-Date 2025,Blend,Large,4.0
19.0,1.19,13.55,30.0,1.19,10.97,13.17,99.07,12.0,-0.16285,Target-Date 2030,Blend,Large,4.0
22.0,1.32,15.04,29.0,1.32,12.14,13.17,99.15,22.0,-0.18017,Target-Date 2035,Blend,Large,4.0
19.0,1.42,16.22,32.0,1.42,13.09,13.17,99.1,24.0,-0.19479,Target-Date 2040,Blend,Large,3.0
15.0,1.5,17.14,35.0,1.5,13.8,13.17,99.02,21.0,-0.20515,Target-Date 2045,Blend,Large,4.0
21.0,1.52,17.39,43.0,1.52,14.0,13.17,98.98,24.0,-0.20882,Target-Date 2050,Blend,Large,4.0
47.0,0.77,17.06,18.0,0.74,14.88,15.48,65.51,24.0,-0.21755,Real Estate,Blend,Medium,2.0
48.0,1.27,25.58,74.0,1.24,21.03,18.86,84.56,59.0,-0.30742,Small Blend,Blend,Small,3.0
60.0,0.57,8.57,69.0,0.5,6.85,6.51,5.12,43.0,-0.11504,High Yield Bond,Value,Small,2.0
18.0,1.53,17.51,47.0,1.53,14.1,13.17,99.02,23.0,-0.21024,Target-Date 2055,Blend,Large,4.0
42.0,0.77,17.06,16.0,0.74,14.87,15.48,65.52,22.0,-0.21675,Real Estate,Blend,Medium,2.0
95.0,0.74,14.9,93.0,0.73,12.19,10.34,84.14,98.0,0.02675,Large Value,Value,Large,1.0
97.0,0.8,17.89,97.0,1.01,13.51,13.17,67.83,100.0,-0.24649,Small Blend,Value,Small,1.0
97.0,0.79,17.88,97.0,1.01,13.51,13.17,67.8,100.0,-0.24603,Small Blend,Value,Small,1.0
97.0,0.8,17.92,97.0,1.01,13.51,13.17,67.76,100.0,-0.2465,Small Blend,Value,Small,1.0
97.0,0.8,17.96,97.0,1.01,13.51,13.17,67.79,100.0,-0.24659,Small Blend,Value,Small,1.0
70.0,0.97,18.75,73.0,0.97,15.28,13.9,91.21,74.0,-0.24343,Large Value,Value,Large,2.0
68.0,0.97,18.75,71.0,0.97,15.28,13.91,91.16,71.0,-0.24237,Large Value,Value,Large,2.0
69.0,0.96,18.74,71.0,0.97,15.27,13.91,91.11,73.0,-0.24294,Large Value,Value,Large,2.0
21.0,1.42,16.26,37.0,1.41,13.01,12.09,98.35,45.0,-0.20166,Allocation--70% to 85% Equity,Blend,Large,4.0
29.0,0.84,9.73,45.0,0.84,7.8,7.06,96.36,27.0,-0.12058,Allocation--30% to 50% Equity,Blend,Large,3.0
95.0,0.82,15.19,90.0,0.81,12.55,13.17,91.36,11.0,-0.19901,Foreign Large Blend,Blend,Large,1.0
32.0,1.03,19.09,36.0,1.02,15.45,14.12,99.0,47.0,-0.18376,Large Blend,Blend,Large,3.0
48.0,1.07,19.98,51.0,1.06,16.46,17.08,89.46,22.0,-0.22036,Foreign Small/Mid Growth,Growth,Medium,3.0
51.0,1.07,19.98,55.0,1.06,16.45,17.07,89.46,28.0,-0.22183,Foreign Small/Mid Growth,Growth,Medium,3.0
25.0,1.63,7.57,38.0,1.5,6.33,5.35,54.3,9.0,-0.03876,Corporate Bond,Growth,Medium,3.0
69.0,1.19,24.35,45.0,1.15,19.83,13.17,82.4,18.0,-0.22036,Small Growth,Growth,Small,2.0
44.0,1.08,20.0,48.0,1.06,16.47,17.08,89.42,21.0,-0.22019,Foreign Small/Mid Growth,Growth,Medium,4.0
95.0,0.82,15.16,93.0,0.81,12.53,13.17,91.3,12.0,-0.2,Foreign Large Blend,Blend,Large,1.0
29.0,1.03,19.1,33.0,1.02,15.45,14.13,98.97,44.0,-0.18335,Large Blend,Blend,Large,3.0
89.0,1.27,25.5,85.0,1.25,20.79,18.68,84.81,77.0,-0.26426,Small Growth,Growth,Small,3.0
34.0,0.84,9.74,48.0,0.84,7.8,7.07,96.12,29.0,-0.12102,Allocation--30% to 50% Equity,Blend,Large,3.0
5.0,1.15,21.09,6.0,1.13,17.35,16.37,91.43,13.0,-0.27423,Foreign Small/Mid Blend,Blend,Medium,3.0
53.0,0.97,11.03,54.0,0.98,8.96,8.97,99.09,50.0,-0.12389,Target-Date 2025,Blend,Large,3.0
44.0,0.96,11.0,40.0,0.97,8.93,8.98,99.17,32.0,-0.1225,Target-Date 2025,Blend,Large,3.0
49.0,0.97,11.02,44.0,0.97,8.94,8.96,99.13,39.0,-0.12302,Target-Date 2025,Blend,Large,3.0
50.0,1.27,14.51,63.0,1.28,11.76,11.45,99.15,71.0,-0.1715,Target-Date 2035,Blend,Large,3.0
44.0,1.28,14.54,47.0,1.28,11.77,11.46,99.16,61.0,-0.17081,Target-Date 2035,Blend,Large,3.0
48.0,1.28,14.56,59.0,1.28,11.8,11.5,99.2,69.0,-0.17212,Target-Date 2035,Blend,Large,3.0
13.0,0.95,11.25,47.0,0.93,8.9,7.97,92.51,99.0,-0.1349,Allocation--30% to 50% Equity,Blend,Large,4.0
16.0,0.95,11.25,54.0,0.93,8.9,7.96,92.5,100.0,-0.13661,Allocation--30% to 50% Equity,Blend,Large,4.0
27.0,1.02,19.08,32.0,1.02,15.45,14.13,99.0,41.0,-0.1828,Large Blend,Blend,Large,3.0
13.0,0.96,11.29,42.0,0.94,8.93,7.99,92.54,98.0,-0.13434,Allocation--30% to 50% Equity,Blend,Large,4.0
13.0,0.96,11.26,44.0,0.93,8.91,7.98,92.62,98.0,-0.13445,Allocation--30% to 50% Equity,Blend,Large,4.0
25.0,1.17,13.39,51.0,1.16,10.71,10.06,98.39,46.0,-0.16324,Allocation--50% to 70% Equity,Blend,Large,4.0
56.0,1.18,24.55,56.0,1.15,19.79,18.18,78.99,41.0,-0.21544,Small Growth,Growth,Small,2.0
23.0,1.17,13.39,45.0,1.16,10.72,10.07,98.52,42.0,-0.16272,Allocation--50% to 70% Equity,Blend,Large,4.0
24.0,1.17,13.36,45.0,1.16,10.69,10.05,98.42,42.0,-0.16312,Allocation--50% to 70% Equity,Blend,Large,4.0
23.0,1.42,16.28,38.0,1.41,13.03,12.09,98.34,52.0,-0.20246,Allocation--70% to 85% Equity,Blend,Large,4.0
25.0,1.17,13.38,47.0,1.16,10.7,10.08,98.41,45.0,-0.16277,Allocation--50% to 70% Equity,Blend,Large,4.0
70.0,1.35,6.62,58.0,1.12,5.45,13.17,66.32,88.0,-0.06926,High Yield Muni,Value,Small,2.0
75.0,1.36,6.64,67.0,1.12,5.46,13.17,66.53,93.0,-0.07118,High Yield Muni,Value,Small,2.0
58.0,1.37,6.67,56.0,1.13,5.48,13.17,67.21,87.0,-0.06858,High Yield Muni,Value,Small,2.0
21.0,1.26,6.88,24.0,1.17,5.69,4.99,39.04,72.0,-0.05578,Corporate Bond,Value,Small,3.0
60.0,1.36,6.64,51.0,1.12,5.45,13.17,66.55,87.0,-0.06859,High Yield Muni,Value,Small,3.0
61.0,1.36,6.64,55.0,1.12,5.45,13.17,66.74,87.0,-0.0686,High Yield Muni,Value,Small,2.0
39.0,0.41,7.26,44.0,0.31,5.63,13.17,3.77,81.0,-0.10675,Nontraditional Bond,Value,Small,4.0
45.0,0.41,7.25,52.0,0.31,5.62,13.17,3.72,84.0,-0.1092,Nontraditional Bond,Value,Small,4.0
73.0,1.0,17.86,66.0,0.99,14.71,14.88,96.66,57.0,-0.23216,Foreign Large Blend,Blend,Large,3.0
63.0,1.0,18.5,56.0,1.0,14.97,13.58,100.0,37.0,-0.19735,Large Blend,Blend,Large,3.0
41.0,0.41,7.26,46.0,0.31,5.63,13.17,3.66,82.0,-0.10823,Nontraditional Bond,Value,Small,4.0
63.0,1.0,18.51,60.0,1.0,14.97,13.58,100.0,38.0,-0.1978,Large Blend,Blend,Large,3.0
36.0,0.41,7.28,40.0,0.31,5.64,13.17,3.75,82.0,-0.10738,Nontraditional Bond,Value,Small,4.0
47.0,1.46,16.71,54.0,1.46,13.48,12.86,98.83,68.0,-0.19967,Target-Date 2045,Blend,Large,3.0
61.0,1.0,18.52,54.0,1.0,14.98,13.57,100.0,35.0,-0.19679,Large Blend,Blend,Large,3.0
42.0,1.46,16.73,45.0,1.46,13.49,12.86,98.86,55.0,-0.19826,Target-Date 2045,Blend,Large,3.0
44.0,1.46,16.74,51.0,1.46,13.49,12.87,98.85,64.0,-0.19903,Target-Date 2045,Blend,Large,3.0
50.0,0.54,6.35,63.0,0.56,5.27,5.04,93.61,49.0,-0.05408,Target-Date Retirement,Blend,Large,3.0
45.0,0.54,6.34,48.0,0.56,5.26,5.05,93.83,40.0,-0.05268,Target-Date Retirement,Blend,Large,3.0
47.0,0.54,6.33,55.0,0.55,5.26,5.03,93.78,43.0,-0.05322,Target-Date Retirement,Blend,Large,3.0
32.0,1.14,13.07,57.0,1.13,10.47,9.58,98.36,45.0,-0.16185,Allocation--50% to 70% Equity,Blend,Large,3.0
36.0,0.99,20.42,49.0,0.99,16.59,15.36,80.55,16.0,-0.17247,Mid-Cap Growth,Growth,Medium,2.0
57.0,1.18,23.28,57.0,1.15,18.74,15.91,87.59,77.0,-0.30216,Mid-Cap Value,Value,Medium,2.0
19.0,1.2,13.74,36.0,1.21,11.1,13.17,99.05,53.0,-0.16601,Target-Date 2030,Blend,Large,4.0
13.0,1.2,13.71,26.0,1.2,11.08,13.17,99.09,42.0,-0.16424,Target-Date 2030,Blend,Large,4.0
16.0,1.21,13.77,31.0,1.21,11.12,13.17,99.12,51.0,-0.16539,Target-Date 2030,Blend,Large,4.0
18.0,1.2,13.7,35.0,1.2,11.08,13.17,99.06,54.0,-0.16494,Target-Date 2030,Blend,Large,4.0
22.0,1.2,13.73,41.0,1.21,11.09,13.17,99.12,58.0,-0.1659,Target-Date 2030,Blend,Large,4.0
20.0,1.45,16.59,37.0,1.45,13.35,13.17,98.94,62.0,-0.20075,Target-Date 2040,Blend,Large,4.0
14.0,1.45,16.58,29.0,1.45,13.34,13.17,98.95,47.0,-0.2,Target-Date 2040,Blend,Large,4.0
18.0,1.45,16.54,33.0,1.45,13.32,13.17,98.96,61.0,-0.20012,Target-Date 2040,Blend,Large,4.0
18.0,1.45,16.6,36.0,1.45,13.35,13.17,98.96,60.0,-0.20037,Target-Date 2040,Blend,Large,4.0
22.0,1.45,16.59,42.0,1.45,13.35,13.17,98.95,66.0,-0.20112,Target-Date 2040,Blend,Large,4.0
27.0,1.56,17.86,55.0,1.56,14.35,13.17,98.83,76.0,-0.21768,Target-Date 2050,Blend,Large,4.0
14.0,1.56,17.86,40.0,1.56,14.35,13.17,98.82,66.0,-0.21661,Target-Date 2050,Blend,Large,4.0
23.0,1.56,17.85,47.0,1.56,14.34,13.17,98.84,71.0,-0.21693,Target-Date 2050,Blend,Large,4.0
24.0,1.56,17.84,54.0,1.55,14.33,13.17,98.83,78.0,-0.21752,Target-Date 2050,Blend,Large,4.0
29.0,1.56,17.85,65.0,1.56,14.34,13.17,98.82,80.0,-0.21809,Target-Date 2050,Blend,Large,4.0
35.0,0.63,7.49,42.0,0.64,6.09,13.17,92.08,21.0,-0.08069,Target-Date Retirement,Blend,Large,4.0
90.0,1.27,25.53,86.0,1.26,20.81,18.69,84.82,78.0,-0.26469,Small Growth,Growth,Small,3.0
89.0,1.27,25.57,86.0,1.26,20.82,18.66,84.69,79.0,-0.26504,Small Growth,Growth,Small,3.0
88.0,1.27,25.6,85.0,1.26,20.84,18.67,84.64,77.0,-0.26443,Small Growth,Growth,Small,3.0
87.0,1.27,25.58,84.0,1.26,20.83,18.67,84.66,76.0,-0.26386,Small Growth,Growth,Small,3.0
14.0,1.05,12.08,29.0,1.06,9.74,9.59,98.24,38.0,-0.14426,Target-Date 2025,Blend,Large,4.0
24.0,1.35,15.41,39.0,1.35,12.41,11.97,98.96,63.0,-0.18959,Target-Date 2035,Blend,Large,4.0
15.0,1.54,17.6,39.0,1.53,14.14,13.3,98.8,66.0,-0.21517,Target-Date 2045,Blend,Large,4.0
21.0,0.87,10.06,36.0,0.86,8.05,7.54,96.26,43.0,-0.12389,Allocation--30% to 50% Equity,Blend,Large,4.0
19.0,0.86,10.01,34.0,0.86,8.01,7.52,96.1,34.0,-0.12322,Allocation--30% to 50% Equity,Blend,Large,4.0
21.0,0.87,10.06,36.0,0.86,8.03,7.52,96.21,42.0,-0.1233,Allocation--30% to 50% Equity,Blend,Large,4.0
21.0,0.87,10.06,37.0,0.86,8.04,7.54,96.42,43.0,-0.12426,Allocation--30% to 50% Equity,Blend,Large,4.0
77.0,1.16,23.67,53.0,1.15,19.59,17.31,82.56,76.0,-0.28864,Small Blend,Blend,Small,2.0
25.0,1.35,15.41,40.0,1.35,12.41,11.97,98.94,61.0,-0.19003,Target-Date 2035,Blend,Large,4.0
20.0,1.35,15.43,29.0,1.35,12.44,11.98,98.96,55.0,-0.18865,Target-Date 2035,Blend,Large,4.0
24.0,1.35,15.44,37.0,1.35,12.45,12.0,98.93,64.0,-0.18935,Target-Date 2035,Blend,Large,4.0
27.0,1.35,15.4,50.0,1.35,12.4,11.96,98.96,70.0,-0.18989,Target-Date 2035,Blend,Large,4.0
17.0,1.54,17.64,42.0,1.54,14.16,13.31,98.82,66.0,-0.21534,Target-Date 2045,Blend,Large,4.0
11.0,1.54,17.63,32.0,1.53,14.16,13.29,98.79,52.0,-0.21435,Target-Date 2045,Blend,Large,5.0
13.0,1.54,17.58,37.0,1.53,14.13,13.28,98.77,63.0,-0.21441,Target-Date 2045,Blend,Large,4.0
20.0,1.54,17.59,49.0,1.53,14.13,13.28,98.76,74.0,-0.21506,Target-Date 2045,Blend,Large,4.0
93.0,0.83,15.24,89.0,0.81,12.59,13.17,91.36,10.0,-0.19836,Foreign Large Blend,Blend,Large,1.0
12.0,1.58,18.06,43.0,1.57,14.5,13.5,98.74,71.0,-0.2223,Target-Date 2055,Blend,Large,4.0
3.0,1.32,25.26,1.0,1.3,20.5,17.82,93.31,86.0,-0.28546,Large Growth,Growth,Medium,5.0
31.0,0.4,3.39,33.0,0.36,2.68,2.08,16.66,66.0,-0.03517,Short-Term Bond,Value,Medium,4.0
62.0,1.11,21.52,58.0,1.11,18.2,17.1,86.65,57.0,-0.16401,Technology,Growth,Large,2.0
30.0,0.38,3.31,29.0,0.34,2.61,2.04,15.8,66.0,-0.03485,Short-Term Bond,Value,Medium,4.0
58.0,1.11,21.52,56.0,1.11,18.2,17.09,86.65,57.0,-0.16337,Technology,Growth,Large,2.0
58.0,1.12,21.52,55.0,1.11,18.21,17.09,86.65,55.0,-0.16301,Technology,Growth,Large,2.0
24.0,1.58,18.03,55.0,1.57,14.48,13.5,98.74,81.0,-0.22293,Target-Date 2055,Blend,Large,4.0
17.0,0.98,18.56,17.0,0.97,14.84,13.74,95.79,57.0,-0.21316,Large Blend,Blend,Large,3.0
46.0,1.46,16.73,55.0,1.46,13.49,12.89,98.84,68.0,-0.19934,Target-Date 2045,Blend,Large,3.0
16.0,0.65,7.68,35.0,0.66,6.24,5.88,92.53,42.0,-0.08333,Target-Date Retirement,Blend,Large,4.0
13.0,0.65,7.7,29.0,0.66,6.25,5.88,92.44,32.0,-0.08216,Target-Date Retirement,Blend,Large,4.0
14.0,0.65,7.68,33.0,0.66,6.23,5.87,92.56,41.0,-0.08201,Target-Date Retirement,Blend,Large,4.0
19.0,0.65,7.66,38.0,0.66,6.22,5.87,92.67,48.0,-0.0828,Target-Date Retirement,Blend,Large,4.0
18.0,1.05,12.02,34.0,1.05,9.7,9.59,98.31,48.0,-0.14424,Target-Date 2025,Blend,Large,4.0
11.0,1.05,12.06,23.0,1.06,9.73,9.6,98.25,20.0,-0.14347,Target-Date 2025,Blend,Large,4.0
93.0,0.83,15.23,89.0,0.81,12.58,13.17,91.4,10.0,-0.19836,Foreign Large Blend,Blend,Large,1.0
13.0,1.05,12.04,28.0,1.05,9.71,9.59,98.31,36.0,-0.14434,Target-Date 2025,Blend,Large,4.0
20.0,1.05,12.02,37.0,1.05,9.69,9.57,98.36,49.0,-0.14441,Target-Date 2025,Blend,Large,4.0
26.0,0.47,4.24,27.0,0.39,3.3,2.52,14.39,42.0,-0.04899,Short-Term Bond,Value,Medium,4.0
41.0,0.47,4.25,52.0,0.4,3.32,2.53,14.38,67.0,-0.051,Short-Term Bond,Value,Medium,4.0
70.0,1.05,4.17,81.0,1.02,3.69,3.35,75.0,42.0,-0.00156,Intermediate Core-Plus Bond,Blend,Medium,3.0
63.0,1.03,4.15,68.0,1.01,3.66,3.34,73.61,40.0,-0.00167,Intermediate Core-Plus Bond,Blend,Medium,3.0
65.0,1.05,4.2,78.0,1.02,3.7,3.36,74.09,44.0,-0.00176,Intermediate Core-Plus Bond,Blend,Medium,3.0
78.0,1.03,4.14,87.0,1.02,3.67,3.33,73.77,58.0,-0.00308,Intermediate Core-Plus Bond,Blend,Medium,3.0
65.0,1.04,4.17,69.0,1.02,3.7,3.36,73.59,36.0,-0.00174,Intermediate Core-Plus Bond,Blend,Medium,3.0
70.0,1.05,4.2,83.0,1.02,3.7,3.35,73.59,47.0,-0.00249,Intermediate Core-Plus Bond,Blend,Medium,3.0
61.0,1.04,4.14,67.0,1.02,3.67,3.33,74.72,32.0,-0.00062,Intermediate Core-Plus Bond,Blend,Medium,3.0
19.0,1.2,5.07,16.0,1.08,4.47,3.91,90.04,17.0,-0.03838,Muni California Intermediate,Blend,Medium,4.0
19.0,1.06,12.58,27.0,1.05,10.13,9.35,91.35,34.0,-0.11999,Allocation--50% to 70% Equity,Blend,Large,3.0
20.0,1.06,12.58,29.0,1.05,10.13,9.36,91.29,35.0,-0.12025,Allocation--50% to 70% Equity,Blend,Large,3.0
32.0,1.06,21.09,42.0,1.05,17.01,14.83,86.85,85.0,-0.28586,Large Value,Value,Large,3.0
27.0,1.06,21.16,38.0,1.06,17.08,14.87,86.96,82.0,-0.2853,Large Value,Value,Large,3.0
31.0,1.07,21.17,41.0,1.06,17.07,14.86,87.04,84.0,-0.286,Large Value,Value,Large,3.0
93.0,0.9,16.49,82.0,0.9,13.82,14.9,91.93,72.0,-0.22569,Foreign Large Value,Value,Large,2.0
19.0,1.03,20.03,13.0,1.02,16.48,15.51,90.24,12.0,-0.14896,Large Growth,Growth,Large,4.0
60.0,1.05,19.08,26.0,1.06,15.77,15.01,97.07,71.0,-0.20406,Unknown,Growth,Large,4.0
21.0,1.03,20.02,14.0,1.02,16.48,15.5,90.24,13.0,-0.14937,Large Growth,Growth,Large,3.0
73.0,1.03,19.62,94.0,1.02,15.74,15.5,95.31,94.0,-0.21513,Large Blend,Blend,Large,4.0
90.0,1.03,20.58,64.0,1.05,17.46,17.28,80.96,37.0,-0.1268,Technology,Growth,Large,2.0
71.0,1.03,19.63,94.0,1.02,15.74,15.5,95.34,93.0,-0.21448,Large Blend,Blend,Large,4.0
75.0,1.03,19.62,94.0,1.02,15.74,15.49,95.34,94.0,-0.21584,Large Blend,Blend,Large,4.0
73.0,1.03,19.6,94.0,1.02,15.72,15.48,95.32,94.0,-0.21499,Large Blend,Blend,Large,4.0
71.0,1.03,19.63,94.0,1.02,15.74,15.5,95.32,93.0,-0.21469,Large Blend,Blend,Large,4.0
71.0,1.03,19.63,94.0,1.02,15.74,15.5,95.3,93.0,-0.21424,Large Blend,Blend,Large,4.0
36.0,0.98,4.83,85.0,0.89,4.03,13.17,47.3,55.0,-0.02477,Inflation-Protected Bond,Growth,Medium,4.0
22.0,1.06,12.59,31.0,1.05,10.14,9.35,91.32,38.0,-0.1208,Allocation--50% to 70% Equity,Blend,Large,3.0
21.0,1.03,20.02,15.0,1.02,16.48,15.51,90.23,14.0,-0.14972,Large Growth,Growth,Large,3.0
17.0,1.06,12.6,24.0,1.05,10.14,9.36,91.32,32.0,-0.11935,Allocation--50% to 70% Equity,Blend,Large,3.0
16.0,1.58,18.06,49.0,1.57,14.5,13.52,98.74,75.0,-0.2227,Target-Date 2055,Blend,Large,4.0
77.0,0.85,10.27,72.0,0.87,8.59,8.56,88.41,77.0,-0.11625,Allocation--30% to 50% Equity,Value,Large,4.0
70.0,0.85,10.29,64.0,0.88,8.62,8.58,88.22,71.0,-0.11549,Allocation--30% to 50% Equity,Value,Large,4.0
70.0,0.85,10.3,68.0,0.88,8.62,8.57,88.27,72.0,-0.1156,Allocation--30% to 50% Equity,Value,Large,4.0
80.0,0.85,10.28,73.0,0.87,8.6,8.57,88.24,79.0,-0.1167,Allocation--30% to 50% Equity,Value,Large,4.0
78.0,0.85,10.28,72.0,0.88,8.6,8.57,88.3,75.0,-0.11636,Allocation--30% to 50% Equity,Value,Large,4.0
